Date,VTI,VEA,VWO,AGG,TLT,TIP,VNQ,DBC,BTC-USD,BIL,LQD,HYG,GLD
2017-09-19,113.28021240234375,34.29756164550781,35.60390090942383,88.05113220214844,101.46812438964844,89.32926177978516,61.59452819824219,13.36180305480957,3924.969970703125,76.15519714355469,91.6687240600586,58.097835540771484,124.62000274658203
2017-09-20,113.46466064453125,34.2098274230957,35.50157165527344,87.97897338867188,101.54067993164062,89.0792007446289,61.426517486572266,13.475409507751465,3905.949951171875,76.15519714355469,91.55506896972656,58.0913200378418,123.62000274658203
2017-09-21,113.14844512939453,34.154502868652344,35.5335578918457,87.96292114257812,101.48429107666016,88.87605285644531,61.309661865234375,13.422975540161133,3631.0400390625,76.15519714355469,91.55506896972656,58.019073486328125,122.68000030517578
2017-09-22,113.23931121826172,34.233551025390625,35.31770706176758,88.02710723876953,101.77456665039062,89.10265350341797,60.877201080322266,13.475409507751465,3630.699951171875,76.15519714355469,91.67634582519531,58.07817840576172,123.23999786376953
2017-09-25,113.0540771484375,34.0833625793457,34.662193298339844,88.23556518554688,102.41167449951172,89.35269927978516,61.23139953613281,13.702622413635254,3926.070068359375,76.15519714355469,92.01729583740234,58.11098098754883,124.52999877929688
2017-09-26,113.08052825927734,33.95689010620117,34.65419006347656,88.20349884033203,102.22614288330078,89.28237915039062,61.334739685058594,13.580276489257812,3892.35009765625,76.15519714355469,92.00218200683594,58.18324661254883,123.13999938964844
2017-09-27,113.697998046875,34.00431823730469,34.46234130859375,87.9468765258789,100.68587493896484,89.00889587402344,60.7812385559082,13.52784252166748,4200.669921875,76.15519714355469,91.64600372314453,58.20951461791992,121.9800033569336
2017-09-28,113.8832778930664,34.114986419677734,34.478328704833984,87.95490264892578,100.3874740600586,88.9463882446289,61.19452667236328,13.52784252166748,4174.72998046875,76.13851165771484,91.78240203857422,58.20951461791992,122.20999908447266
2017-09-29,114.25375366210938,34.31259536743164,34.830078125,87.8827133178711,100.61328125,88.75101470947266,61.319969177246094,13.457931518554688,4163.06982421875,76.17180633544922,91.8657455444336,58.294883728027344,121.58000183105469
2017-10-02,114.8536148071289,34.273075103759766,34.86204528808594,87.93656158447266,100.42903137207031,88.6321792602539,61.23139953613281,13.34432601928711,4409.31982421875,76.17515563964844,91.95157623291016,58.26523971557617,120.7699966430664
